fleet_size,mode,metric,n,mean,standard_deviation,ci95_half_width,ci95_low,ci95_high
300,distributed,average_completion_time_s,5,128.45703488371808,2.9025033807025284,3.6039339524830503,124.85310093123503,132.06096883620114
300,distributed,completed_nominal_work_fraction,5,0.5231,0.0063864004815788415,0.007929763556087644,0.5151702364439124,0.5310297635560877
300,distributed,completed_work_state_fraction,5,0.5242624444444445,0.006400592482649078,0.007947385252879026,0.5163150591915654,0.5322098296973236
300,distributed,completion_rate,5,0.8697710139102824,0.0062120491686451585,0.0077132778077783305,0.8620577361025041,0.8774842917180607
300,distributed,full_active_fraction,5,0.9559362962962963,0.0016389953930658662,0.002035081572791717,0.9539012147235045,0.957971377869088
300,distributed,full_idle_fraction,5,0.044063703703703716,0.0016389953930658662,0.002035081572791717,0.042028622130912,0.046098785276495434
300,distributed,full_navigating_fraction,5,0.41499555555555556,0.006046848083267164,0.007508153567600288,0.4074874019879553,0.4225037091231558
300,distributed,full_working_fraction,5,0.5409407407407407,0.006511682021066738,0.00808532113330931,0.5328554196074314,0.54902606187405
300,distributed,incomplete_task_work_fraction,5,0.0169113333333333,0.0006495973533939092,0.0008065816470376664,0.016104751686295632,0.017717914980370966
300,distributed,latency_p90_s,5,240.80800000000008,7.639998036648929,9.486310508454435,231.32168949154564,250.29431050845452
300,distributed,offered_work_fraction_nominal,5,0.6,0.0,0.0,0.6,0.6
300,distributed,offered_work_fraction_realized,5,0.6014333333333333,0.007191430084946025,0.008929339832076935,0.5925039935012564,0.6103626731654102
300,distributed,post_warmup_active_fraction,5,0.9981166666666667,9.877507668966241e-05,0.00012264545664536988,0.9979940212100212,0.9982393121233121
300,distributed,post_warmup_idle_fraction,5,0.0018833333333333035,9.877507668966241e-05,0.00012264545664536988,0.0017606878766879335,0.0020059787899786735
300,distributed,post_warmup_navigating_fraction,5,0.3623203703703704,0.0065316259671193986,0.008110084813105014,0.3542102855572654,0.3704304551834754
300,distributed,post_warmup_working_fraction,5,0.6357962962962963,0.006518747858707561,0.008094094529525071,0.6277022017667713,0.6438903908258213
300,distributed,tasks_active_end,5,470.0,24.657656011875904,30.616523750038972,439.383476249961,500.616523750039
300,distributed,tasks_active_end_per_robot,5,1.5666666666666669,0.08219218670625307,0.10205507916679665,1.4646115874998702,1.6687217458334636
300,distributed,throughput_tps,5,3.4873333333333334,0.042576003210525896,0.05286509037391798,3.4344682429594156,3.5401984237072512
500,centralized,agent_work_fraction_final,5,0.3270176888888889,0.010625025356077233,0.013192711464643255,0.31382497742424564,0.3402104003535321
500,centralized,arrival_completion_gap_tps,5,1.4444444444444446,0.09373590429011926,0.11638849769611505,1.3280559467483295,1.5608329421405598
500,centralized,average_completion_time_s,5,220.24998973640245,3.111593332732118,3.863553418304344,216.3864363180981,224.1135431547068
500,centralized,completed_nominal_work_fraction,5,0.31927999999999995,0.009444416339827469,0.011726791753211157,0.3075532082467888,0.3310067917532111
500,centralized,completed_work_state_fraction,5,0.3199895111111111,0.009465403931693735,0.011752851290440494,0.3082366598206706,0.33174236240155164
500,centralized,completion_rate,5,0.7106290169884587,0.019032527940202573,0.023632004738156822,0.6869970122503019,0.7342610217266156
500,centralized,full_active_fraction,5,0.9042475555555555,0.004360880701627455,0.005414748567672392,0.898832806987883,0.9096623041232279
500,centralized,full_idle_fraction,5,0.09575244444444449,0.004360880701627455,0.005414748567672392,0.0903376958767721,0.10116719301211688
500,centralized,full_navigating_fraction,5,0.5772991111111111,0.010404343062774359,0.012918698206008031,0.5643804129051031,0.5902178093171191
500,centralized,full_working_fraction,5,0.3269484444444445,0.010616339305377991,0.013181926308203433,0.31376651813624107,0.3401303707526479
500,centralized,incomplete_task_work_fraction,5,0.007028177777777778,0.0024997162476006352,0.003103807670370721,0.003924370107407057,0.010131985448148499
500,centralized,latency_p90_s,5,414.89400000000006,4.879803274723252,6.0590760445407055,408.8349239554594,420.95307604454075
500,centralized,offered_work_fraction_nominal,5,0.45,0.0,0.0,0.45,0.45
500,centralized,offered_work_fraction_realized,5,0.44928,0.0043928350754381855,0.005454425163218321,0.4438255748367817,0.4547344251632183
500,centralized,post_warmup_active_fraction,5,0.983013888888889,0.0012697938979259412,0.0015766573681934694,0.9814372315206955,0.9845905462570824
500,centralized,post_warmup_idle_fraction,5,0.016986111111111125,0.0012697938979259412,0.0015766573681934694,0.015409453742917656,0.018562768479304596
500,centralized,post_warmup_navigating_fraction,5,0.5879188888888889,0.013900158400154366,0.017259326254801338,0.5706595626340876,0.6051782151436902
